Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,"('Standard', 'Gls')","('Standard', 'Sh')","('Standard', 'SoT')","('Standard', 'SoT%')","('Standard', 'G/Sh')","('Standard', 'G/SoT')","('Standard', 'Dist')","('Standard', 'FK')","('Standard', 'PK')","('Standard', 'PKatt')","('Expected', 'xG')","('Expected', 'npxG')","('Expected', 'npxG/Sh')","('Expected', 'G-xG')","('Expected', 'np:G-xG')","('Unnamed: 24_level_0', 'Match Report')","('Performance', 'SoTA')","('Performance', 'GA')","('Performance', 'Saves')","('Performance', 'Save%')","('Performance', 'CS')","('Performance', 'PSxG')","('Performance', 'PSxG+/-')","('Penalty Kicks', 'PKatt')","('Penalty Kicks', 'PKA')","('Penalty Kicks', 'PKsv')","('Penalty Kicks', 'PKm')","('Launched', 'Cmp')","('Launched', 'Att')","('Launched', 'Cmp%')","('Passes', 'Att (GK)')","('Passes', 'Thr')","('Passes', 'Launch%')","('Passes', 'AvgLen')","('Goal Kicks', 'Att')","('Goal Kicks', 'Launch%')","('Goal Kicks', 'AvgLen')","('Crosses', 'Opp')","('Crosses', 'Stp')","('Crosses', 'Stp%')","('Sweeper', '#OPA')","('Sweeper', 'AvgDist')","('Unnamed: 35_level_0', 'Match Report')","('Total', 'Cmp')","('Total', 'Att')","('Total', 'Cmp%')","('Total', 'TotDist')","('Total', 'PrgDist')","('Short', 'Cmp')","('Short', 'Att')","('Short', 'Cmp%')","('Medium', 'Cmp')","('Medium', 'Att')","('Medium', 'Cmp%')","('Long', 'Cmp')","('Long', 'Att')","('Long', 'Cmp%')","('Unnamed: 23_level_0', 'Ast')","('Unnamed: 24_level_0', 'xAG')","('Unnamed: 25_level_0', 'xA')","('Unnamed: 26_level_0', 'KP')","('Unnamed: 27_level_0', '1/3')","('Unnamed: 28_level_0', 'PPA')","('Unnamed: 29_level_0', 'CrsPA')","('Unnamed: 30_level_0', 'PrgP')","('Unnamed: 31_level_0', 'Match Report')","('SCA Types', 'SCA')","('SCA Types', 'PassLive')","('SCA Types', 'PassDead')","('SCA Types', 'TO')","('SCA Types', 'Sh')","('SCA Types', 'Fld')","('SCA Types', 'Def')","('GCA Types', 'GCA')","('GCA Types', 'PassLive')","('GCA Types', 'PassDead')","('GCA Types', 'TO')","('GCA Types', 'Sh')","('GCA Types', 'Fld')","('GCA Types', 'Def')","('Unnamed: 23_level_0', 'Match Report')","('Tackles', 'Tkl')","('Tackles', 'TklW')","('Tackles', 'Def 3rd')","('Tackles', 'Mid 3rd')","('Tackles', 'Att 3rd')","('Challenges', 'Tkl')","('Challenges', 'Att')","('Challenges', 'Tkl%')","('Challenges', 'Lost')","('Blocks', 'Blocks')","('Blocks', 'Sh')","('Blocks', 'Pass')","('Unnamed: 21_level_0', 'Int')","('Unnamed: 22_level_0', 'Tkl+Int')","('Unnamed: 23_level_0', 'Clr')","('Unnamed: 24_level_0', 'Err')","('Unnamed: 25_level_0', 'Match Report')","('For Arsenal', 'Poss')","('Touches', 'Touches')","('Touches', 'Def Pen')","('Touches', 'Def 3rd')","('Touches', 'Mid 3rd')","('Touches', 'Att 3rd')","('Touches', 'Att Pen')","('Touches', 'Live')","('Take-Ons', 'Att')","('Take-Ons', 'Succ')","('Take-Ons', 'Succ%')","('Take-Ons', 'Tkld')","('Take-Ons', 'Tkld%')","('Carries', 'Carries')","('Carries', 'TotDist')","('Carries', 'PrgDist')","('Carries', 'PrgC')","('Carries', '1/3')","('Carries', 'CPA')","('Carries', 'Mis')","('Carries', 'Dis')","('Receiving', 'Rec')","('Receiving', 'PrgR')","('Unnamed: 32_level_0', 'Match Report')","('Performance', 'CrdY')","('Performance', 'CrdR')","('Performance', '2CrdY')","('Performance', 'Fls')","('Performance', 'Fld')","('Performance', 'Off')","('Performance', 'Crs')","('Performance', 'Int')","('Performance', 'TklW')","('Performance', 'PKwon')","('Performance', 'PKcon')","('Performance', 'OG')","('Performance', 'Recov')","('Aerial Duels', 'Won')","('Aerial Duels', 'Lost')","('Aerial Duels', 'Won%')","('Unnamed: 25_level_0', 'Match Report')"
2024-11-10,16:30,Matchweek 11,Sun,Away,D,1.0,1.0,Chelsea,1.5,1.5,51.0,39780.0,Martin Ødegaard,4-3-3,4-2-3-1,Michael Oliver,Match Report,,1,13,3,23.1,0.08,0.33,16.3,0,0,0,1.5,1.5,0.12,-0.5,-0.5,Match Report,3,1,2,66.7,0,0.3,-0.7,0,0,0,0,6,9,66.7,34,7,26.5,25.2,7,0.0,13.3,10,4,40.0,6,17.3,Match Report,400,474,84.4,6174,2177,225,241,93.4,144,167,86.2,24,45,53.3,1,1.2,1.2,10,39,5,1,39,Match Report,21,17,1,1,2,0,0,2,2,0,0,0,0,0,Match Report,13,6,4,6,3,5,12,41.7,7,14,8,6,6,19,16,1,Match Report,51.0,564,59,155,272,141,18,564,16,8,50.0,3,18.8,347,1626,869,13,13,3,10,16,397,38,Match Report,2,0,0,12,12,7,17,6,6,0,0,0,34,10,9,52.6,Match Report
2024-11-23,15:00,Matchweek 12,Sat,Home,W,3.0,0.0,Nott'ham Forest,1.2,0.3,66.0,60298.0,Martin Ødegaard,4-3-3,4-2-3-1,Simon Hooper,Match Report,,3,19,6,31.6,0.16,0.5,17.7,0,0,0,1.2,1.2,0.06,1.8,1.8,Match Report,0,0,0,,1,0.0,0.0,0,0,0,0,1,7,14.3,33,7,18.2,26.8,6,16.7,25.8,11,1,9.1,3,19.8,Match Report,560,631,88.7,8941,2827,277,294,94.2,246,266,92.5,29,50,58.0,3,1.2,0.8,18,46,20,2,64,Match Report,37,31,1,3,2,0,0,6,6,0,0,0,0,0,Match Report,15,13,5,8,2,6,10,60.0,4,6,1,5,4,19,13,0,Match Report,66.0,730,48,202,327,210,48,730,19,8,42.1,10,52.6,448,2282,1365,27,17,6,12,6,552,63,Match Report,3,0,0,10,11,4,18,4,13,0,0,0,31,11,14,44.0,Match Report
2024-11-30,17:30,Matchweek 13,Sat,Away,W,5.0,2.0,West Ham,3.5,1.5,60.0,62475.0,Martin Ødegaard,4-3-3,4-2-3-1,Anthony Taylor,Match Report,,5,14,5,35.7,0.21,0.6,15.4,1,2,2,3.5,2.0,0.14,1.5,1.0,Match Report,5,2,3,60.0,0,2.3,0.3,0,0,0,0,5,19,26.3,40,4,42.5,36.1,4,50.0,34.5,7,0,0.0,1,28.0,Match Report,425,526,80.8,7104,2264,216,242,89.3,160,193,82.9,38,61,62.3,3,1.9,1.9,12,33,9,1,49,Match Report,29,18,5,1,0,4,1,10,5,2,1,0,2,0,Match Report,17,6,12,5,0,8,13,61.5,5,5,4,1,6,23,14,1,Match Report,60.0,621,45,175,264,187,31,619,17,5,29.4,8,47.1,373,2087,1066,26,18,11,10,14,421,49,Match Report,1,0,0,13,10,1,19,6,6,2,0,0,39,10,17,37.0,Match Report
2024-12-04,20:15,Matchweek 14,Wed,Home,W,2.0,0.0,Manchester Utd,2.1,0.2,51.0,60256.0,Martin Ødegaard,4-3-3,3-4-3,Samuel Barrott,Match Report,,2,14,6,42.9,0.14,0.33,11.0,0,0,0,2.1,2.1,0.15,-0.1,-0.1,Match Report,2,0,2,100.0,1,0.6,0.6,0,0,0,0,3,9,33.3,43,4,18.6,25.6,4,25.0,27.5,4,0,0.0,2,28.0,Match Report,425,508,83.7,7023,2233,222,239,92.9,155,173,89.6,38,72,52.8,2,1.8,1.4,10,26,7,1,27,Match Report,20,11,4,2,3,0,0,4,2,2,0,0,0,0,Match Report,15,11,3,9,3,6,14,42.9,8,5,0,5,3,18,9,1,Match Report,51.0,588,44,177,263,151,33,588,17,7,41.2,10,58.8,334,1693,805,15,11,7,10,9,424,27,Match Report,1,0,0,12,8,2,23,3,11,0,0,0,40,12,9,57.1,Match Report
2024-12-08,14:00,Matchweek 15,Sun,Away,D,1.0,1.0,Fulham,1.8,0.2,66.0,26954.0,Martin Ødegaard,4-3-3,4-2-3-1,Chris Kavanagh,Match Report,,1,12,4,33.3,0.08,0.25,12.2,0,0,0,1.8,1.8,0.17,-0.8,-0.8,Match Report,2,1,1,50.0,0,0.4,-0.6,0,0,0,0,2,3,66.7,22,4,13.6,21.7,2,0.0,13.0,9,1,11.1,3,21.2,Match Report,556,650,85.5,8841,2587,296,315,94.0,211,240,87.9,34,62,54.8,1,1.9,1.3,9,46,16,1,71,Match Report,22,13,4,2,1,2,0,1,0,0,0,1,0,0,Match Report,9,6,1,5,3,3,8,37.5,5,7,0,7,6,15,11,0,Match Report,66.0,744,26,105,399,244,35,744,25,8,32.0,14,56.0,419,2409,1293,29,13,7,12,13,552,69,Match Report,2,0,0,9,9,3,33,6,6,0,0,0,51,10,6,62.5,Match Report
2024-12-14,15:00,Matchweek 16,Sat,Home,D,0.0,0.0,Everton,1.2,0.1,76.0,60176.0,Martin Ødegaard,4-3-3,4-3-3,Craig Pawson,Match Report,,0,13,5,38.5,0.0,0.0,13.0,0,0,0,1.2,1.2,0.09,-1.2,-1.2,Match Report,0,0,0,,1,0.0,0.0,0,0,0,0,0,1,0.0,29,6,3.4,20.6,1,0.0,14.0,8,1,12.5,3,23.2,Match Report,666,746,89.3,10614,2982,342,367,93.2,277,293,94.5,37,66,56.1,0,1.2,1.7,13,62,12,4,77,Match Report,25,21,2,1,1,0,0,0,0,0,0,0,0,0,Match Report,18,10,7,7,4,7,17,41.2,10,5,2,3,0,18,7,0,Match Report,76.0,847,30,157,397,300,46,847,29,13,44.8,13,44.8,576,2903,1729,31,18,6,18,16,665,77,Match Report,0,0,0,6,9,5,28,0,10,0,0,0,47,14,9,60.9,Match Report
2024-12-21,17:30,Matchweek 17,Sat,Away,W,5.0,1.0,Crystal Palace,2.5,1.6,58.0,25167.0,Martin Ødegaard,4-3-3,3-4-3,Simon Hooper,Match Report,,5,14,6,42.9,0.36,0.83,11.5,0,0,0,2.5,2.5,0.21,2.5,2.5,Match Report,6,1,5,83.3,0,1.7,0.7,0,0,0,0,6,21,28.6,49,3,36.7,31.9,5,60.0,48.8,11,2,18.2,1,11.8,Match Report,509,593,85.8,8718,2408,236,258,91.5,234,255,91.8,34,58,58.6,4,2.0,1.2,11,28,8,4,30,Match Report,24,17,2,1,4,0,0,8,5,0,0,3,0,0,Match Report,14,10,4,9,1,3,7,42.9,4,10,3,7,11,25,16,3,Match Report,58.0,710,64,212,336,166,31,710,25,8,32.0,14,56.0,376,1982,929,19,12,5,17,11,504,29,Match Report,2,0,0,8,8,0,17,11,10,0,0,0,33,19,13,59.4,Match Report
2024-12-27,20:15,Matchweek 18,Fri,Home,W,1.0,0.0,Ipswich Town,1.8,0.2,68.0,60271.0,Martin Ødegaard,4-3-3,5-4-1,Darren England,Match Report,,1,13,5,38.5,0.08,0.2,15.7,1,0,0,1.8,1.8,0.14,-0.8,-0.8,Match Report,0,0,0,,1,0.0,0.0,0,0,0,0,4,10,40.0,29,2,34.5,29.8,1,0.0,18.0,6,2,33.3,0,2.5,Match Report,624,707,88.3,9566,2226,334,361,92.5,250,268,93.3,23,47,48.9,1,1.8,1.3,12,45,9,1,39,Match Report,26,21,2,0,2,1,0,2,2,0,0,0,0,0,Match Report,24,13,7,10,7,7,13,53.8,6,10,3,7,4,28,14,0,Match Report,68.0,809,38,153,369,289,40,809,20,7,35.0,9,45.0,509,2186,1135,17,22,8,9,9,621,39,Match Report,1,0,0,7,10,1,18,4,13,0,0,0,36,13,14,48.1,Match Report
2025-01-01,17:30,Matchweek 19,Wed,Away,W,3.0,1.0,Brentford,1.9,0.3,50.0,47190.0,Martin Ødegaard,4-3-3,4-3-1-2,Peter Bankes,Match Report,,3,14,4,28.6,0.21,0.75,14.7,0,0,0,1.9,1.9,0.14,1.1,1.1,Match Report,2,1,1,50.0,0,0.6,-0.4,0,0,0,0,4,16,25.0,29,7,41.4,36.4,6,66.7,47.5,11,2,18.2,0,7.0,Match Report,407,506,80.4,6337,2154,228,251,90.8,151,183,82.5,21,50,42.0,0,0.7,1.5,10,35,20,3,59,Match Report,24,20,0,1,2,0,1,4,2,0,0,2,0,0,Match Report,16,9,5,10,1,7,11,63.6,4,6,1,5,6,22,23,0,Match Report,50.0,601,44,158,208,236,43,601,14,8,57.1,5,35.7,360,1795,978,16,14,5,10,5,402,58,Match Report,2,0,0,8,6,6,20,6,9,0,0,0,48,18,12,60.0,Match Report
2025-01-04,17:30,Matchweek 20,Sat,Away,D,1.0,1.0,Brighton,0.9,1.5,55.0,31714.0,Jorginho,4-3-3,4-2-3-1,Anthony Taylor,Match Report,,1,9,3,33.3,0.11,0.33,15.3,0,0,0,0.9,0.9,0.1,0.1,0.1,Match Report,4,1,3,100.0,0,1.9,0.9,1,1,0,0,3,14,21.4,47,8,29.8,31.4,5,0.0,14.2,8,0,0.0,0,8.0,Match Report,473,555,85.2,7791,2702,248,263,94.3,187,207,90.3,35,64,54.7,1,0.9,0.9,9,39,7,0,39,Match Report,18,12,3,0,1,2,0,2,2,0,0,0,0,0,Match Report,14,7,7,6,1,9,21,42.9,12,4,3,1,5,19,9,1,Match Report,55.0,638,63,236,263,142,22,638,15,7,46.7,6,40.0,378,1836,878,24,7,8,17,5,468,38,Match Report,3,0,0,14,17,3,15,5,7,0,1,0,42,12,12,50.0,Match Report
