Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,"('Standard', 'Gls')","('Standard', 'Sh')","('Standard', 'SoT')","('Standard', 'SoT%')","('Standard', 'G/Sh')","('Standard', 'G/SoT')","('Standard', 'Dist')","('Standard', 'FK')","('Standard', 'PK')","('Standard', 'PKatt')","('Expected', 'xG')","('Expected', 'npxG')","('Expected', 'npxG/Sh')","('Expected', 'G-xG')","('Expected', 'np:G-xG')","('Unnamed: 24_level_0', 'Match Report')","('Performance', 'SoTA')","('Performance', 'GA')","('Performance', 'Saves')","('Performance', 'Save%')","('Performance', 'CS')","('Performance', 'PSxG')","('Performance', 'PSxG+/-')","('Penalty Kicks', 'PKatt')","('Penalty Kicks', 'PKA')","('Penalty Kicks', 'PKsv')","('Penalty Kicks', 'PKm')","('Launched', 'Cmp')","('Launched', 'Att')","('Launched', 'Cmp%')","('Passes', 'Att (GK)')","('Passes', 'Thr')","('Passes', 'Launch%')","('Passes', 'AvgLen')","('Goal Kicks', 'Att')","('Goal Kicks', 'Launch%')","('Goal Kicks', 'AvgLen')","('Crosses', 'Opp')","('Crosses', 'Stp')","('Crosses', 'Stp%')","('Sweeper', '#OPA')","('Sweeper', 'AvgDist')","('Unnamed: 35_level_0', 'Match Report')","('Total', 'Cmp')","('Total', 'Att')","('Total', 'Cmp%')","('Total', 'TotDist')","('Total', 'PrgDist')","('Short', 'Cmp')","('Short', 'Att')","('Short', 'Cmp%')","('Medium', 'Cmp')","('Medium', 'Att')","('Medium', 'Cmp%')","('Long', 'Cmp')","('Long', 'Att')","('Long', 'Cmp%')","('Unnamed: 23_level_0', 'Ast')","('Unnamed: 24_level_0', 'xAG')","('Unnamed: 25_level_0', 'xA')","('Unnamed: 26_level_0', 'KP')","('Unnamed: 27_level_0', '1/3')","('Unnamed: 28_level_0', 'PPA')","('Unnamed: 29_level_0', 'CrsPA')","('Unnamed: 30_level_0', 'PrgP')","('Unnamed: 31_level_0', 'Match Report')","('SCA Types', 'SCA')","('SCA Types', 'PassLive')","('SCA Types', 'PassDead')","('SCA Types', 'TO')","('SCA Types', 'Sh')","('SCA Types', 'Fld')","('SCA Types', 'Def')","('GCA Types', 'GCA')","('GCA Types', 'PassLive')","('GCA Types', 'PassDead')","('GCA Types', 'TO')","('GCA Types', 'Sh')","('GCA Types', 'Fld')","('GCA Types', 'Def')","('Unnamed: 23_level_0', 'Match Report')","('Tackles', 'Tkl')","('Tackles', 'TklW')","('Tackles', 'Def 3rd')","('Tackles', 'Mid 3rd')","('Tackles', 'Att 3rd')","('Challenges', 'Tkl')","('Challenges', 'Att')","('Challenges', 'Tkl%')","('Challenges', 'Lost')","('Blocks', 'Blocks')","('Blocks', 'Sh')","('Blocks', 'Pass')","('Unnamed: 21_level_0', 'Int')","('Unnamed: 22_level_0', 'Tkl+Int')","('Unnamed: 23_level_0', 'Clr')","('Unnamed: 24_level_0', 'Err')","('Unnamed: 25_level_0', 'Match Report')","('For Arsenal', 'Poss')","('Touches', 'Touches')","('Touches', 'Def Pen')","('Touches', 'Def 3rd')","('Touches', 'Mid 3rd')","('Touches', 'Att 3rd')","('Touches', 'Att Pen')","('Touches', 'Live')","('Take-Ons', 'Att')","('Take-Ons', 'Succ')","('Take-Ons', 'Succ%')","('Take-Ons', 'Tkld')","('Take-Ons', 'Tkld%')","('Carries', 'Carries')","('Carries', 'TotDist')","('Carries', 'PrgDist')","('Carries', 'PrgC')","('Carries', '1/3')","('Carries', 'CPA')","('Carries', 'Mis')","('Carries', 'Dis')","('Receiving', 'Rec')","('Receiving', 'PrgR')","('Unnamed: 32_level_0', 'Match Report')","('Performance', 'CrdY')","('Performance', 'CrdR')","('Performance', '2CrdY')","('Performance', 'Fls')","('Performance', 'Fld')","('Performance', 'Off')","('Performance', 'Crs')","('Performance', 'Int')","('Performance', 'TklW')","('Performance', 'PKwon')","('Performance', 'PKcon')","('Performance', 'OG')","('Performance', 'Recov')","('Aerial Duels', 'Won')","('Aerial Duels', 'Lost')","('Aerial Duels', 'Won%')","('Unnamed: 25_level_0', 'Match Report')"
2022-08-05,20:00,Matchweek 1,Fri,Away,W,2.0,0.0,Crystal Palace,1.0,1.2,44.0,25286.0,Martin Ødegaard,4-3-3,4-2-3-1,Anthony Taylor,Match Report,,1,10,2,20.0,0.1,0.5,14.6,1,0,0,1.0,1.0,0.1,0.0,0.0,Match Report,2,0,2,100.0,1,0.3,0.3,0,0,0,0,8,15,53.3,30,4,46.7,36.5,2,50.0,43.5,16,2,12.5,1,15.7,Match Report,378,469,80.6,6643,2559,171,201,85.1,156,176,88.6,34,60,56.7,1,0.6,0.8,7,34,10,0,40,Match Report,18,11,2,3,1,1,0,2,1,1,0,0,0,0,Match Report,29,16,17,10,2,13,29,44.8,16,17,6,11,9,38,24,0,Match Report,44.0,599,79,220,254,133,27,599,17,13,76.5,3,17.6,359,1962,1008,15,8,5,19,15,376,39,Match Report,2,0,0,11,16,2,11,9,16,0,0,0,55,14,10,58.3,Match Report
2022-08-13,15:00,Matchweek 2,Sat,Home,W,4.0,2.0,Leicester City,2.7,0.5,50.0,60033.0,Martin Ødegaard,4-3-3,3-5-1-1,Darren England,Match Report,,4,19,7,36.8,0.21,0.57,13.0,0,0,0,2.7,2.7,0.16,1.3,1.3,Match Report,2,2,1,0.0,0,0.5,-0.5,0,0,0,0,5,13,38.5,23,3,43.5,37.3,3,100.0,72.3,6,0,0.0,1,17.0,Match Report,407,499,81.6,6642,2321,212,232,91.4,148,173,85.5,31,61,50.8,3,1.5,1.0,14,29,7,2,29,Match Report,34,24,4,1,3,2,0,6,6,0,0,0,0,0,Match Report,8,6,5,1,2,5,8,62.5,3,9,1,8,8,16,12,0,Match Report,50.0,590,31,135,230,227,34,590,17,11,64.7,5,29.4,323,1990,1009,23,19,9,12,7,405,29,Match Report,1,0,0,15,9,2,17,8,6,0,0,1,50,19,14,57.6,Match Report
2022-08-20,17:30,Matchweek 3,Sat,Away,W,3.0,0.0,Bournemouth,1.3,0.3,57.0,10423.0,Martin Ødegaard,4-3-3,3-1-4-2,Craig Pawson,Match Report,,3,14,6,42.9,0.21,0.5,14.8,0,0,0,1.3,1.3,0.1,1.7,1.7,Match Report,1,0,1,100.0,1,0.1,0.1,0,0,0,0,5,13,38.5,23,2,39.1,33.6,4,100.0,72.3,12,0,0.0,0,7.0,Match Report,534,614,87.0,8331,2663,286,307,93.2,188,206,91.3,34,61,55.7,2,0.8,0.6,9,24,6,2,35,Match Report,25,18,1,2,3,0,1,5,4,0,0,1,0,0,Match Report,14,8,5,5,4,5,12,41.7,7,11,0,11,10,24,20,1,Match Report,57.0,738,49,187,384,173,17,738,27,12,44.4,13,48.1,526,2454,1049,14,19,3,16,9,528,35,Match Report,1,0,0,10,12,3,16,10,8,0,0,0,56,14,12,53.8,Match Report
2022-08-27,17:30,Matchweek 4,Sat,Home,W,2.0,1.0,Fulham,2.6,0.8,71.0,60164.0,Martin Ødegaard,4-3-3,4-2-3-1,Jarred Gillett,Match Report,,2,22,8,36.4,0.09,0.25,15.5,1,0,0,2.6,2.6,0.12,-0.6,-0.6,Match Report,3,1,2,66.7,0,1.1,0.1,0,0,0,0,3,10,30.0,22,5,31.8,30.8,10,30.0,30.6,10,2,20.0,0,14.5,Match Report,534,637,83.8,9990,3197,221,252,87.7,246,268,91.8,62,91,68.1,2,2.1,1.3,16,42,17,3,66,Match Report,36,27,1,3,2,2,1,3,2,0,0,1,0,0,Match Report,15,11,2,8,5,6,10,60.0,4,17,2,15,7,22,5,1,Match Report,71.0,745,43,157,352,243,48,745,29,13,44.8,9,31.0,445,2351,1277,17,18,8,15,15,529,63,Match Report,2,0,0,6,12,1,19,7,11,0,0,0,53,11,22,33.3,Match Report
2022-08-31,19:30,Matchweek 5,Wed,Home,W,2.0,1.0,Aston Villa,2.4,0.4,59.0,60012.0,Martin Ødegaard,4-3-3,4-3-3,Robert Jones,Match Report,,2,22,8,36.4,0.09,0.25,16.3,1,0,0,2.4,2.4,0.12,-0.4,-0.4,Match Report,3,1,2,66.7,0,0.2,-0.8,0,0,0,0,3,13,23.1,22,9,40.9,37.6,5,80.0,61.8,9,0,0.0,0,,Match Report,452,549,82.3,8154,3066,186,203,91.6,210,244,86.1,48,76,63.2,1,1.8,1.5,15,40,16,0,50,Match Report,38,25,5,0,6,2,0,4,4,0,0,0,0,0,Match Report,10,7,7,2,1,4,9,44.4,5,4,0,4,8,18,13,0,Match Report,59.0,665,39,195,271,206,48,665,23,12,52.2,7,30.4,420,2049,1016,23,19,7,18,9,450,50,Match Report,2,0,0,10,14,1,20,8,7,0,0,0,50,10,10,50.0,Match Report
2022-09-04,16:30,Matchweek 6,Sun,Away,L,1.0,3.0,Manchester Utd,1.3,1.5,60.0,73431.0,Martin Ødegaard,4-3-3,4-2-3-1,Paul Tierney,Match Report,,1,16,3,18.8,0.06,0.33,18.6,1,0,0,1.3,1.3,0.08,-0.3,-0.3,Match Report,6,3,3,50.0,0,3.1,0.1,0,0,0,0,7,18,38.9,38,7,42.1,35.6,3,66.7,55.3,6,0,0.0,3,19.5,Match Report,418,508,82.3,7521,2785,186,206,90.3,178,203,87.7,43,68,63.2,0,1.0,1.2,14,38,19,3,58,Match Report,28,19,5,1,1,2,0,2,2,0,0,0,0,0,Match Report,14,8,7,2,5,8,11,72.7,3,7,1,6,6,20,6,1,Match Report,60.0,601,45,152,235,215,45,601,18,8,44.4,9,50.0,311,1909,1016,22,10,7,18,8,414,58,Match Report,3,0,0,9,13,0,16,6,8,0,0,0,47,3,10,23.1,Match Report
2022-09-18,12:00,Matchweek 8,Sun,Away,W,3.0,0.0,Brentford,1.5,0.5,63.0,17122.0,Granit Xhaka,4-3-3,3-5-2,David Coote,Match Report,,3,13,7,53.8,0.23,0.43,18.2,0,0,0,1.5,1.5,0.12,1.5,1.5,Match Report,2,0,2,100.0,1,0.4,0.4,0,0,0,0,2,15,13.3,20,4,45.0,36.9,6,100.0,72.2,14,1,7.1,0,2.0,Match Report,525,624,84.1,8293,2539,289,309,93.5,209,242,86.4,25,62,40.3,3,1.3,0.9,12,47,7,0,41,Match Report,23,17,3,1,0,0,2,6,4,2,0,0,0,0,Match Report,12,9,3,3,6,3,7,42.9,4,2,0,2,6,18,21,0,Match Report,63.0,722,44,132,399,194,21,722,20,10,50.0,8,40.0,484,2241,962,13,15,2,10,13,520,41,Match Report,2,0,0,10,10,1,9,6,9,0,0,0,53,8,21,27.6,Match Report
2022-10-01,12:30,Matchweek 9,Sat,Home,W,3.0,1.0,Tottenham,2.4,1.6,64.0,60278.0,Martin Ødegaard,4-3-3,3-4-3,Anthony Taylor,Match Report,,3,22,9,40.9,0.14,0.33,18.6,1,0,0,2.4,2.4,0.11,0.6,0.6,Match Report,3,1,2,100.0,0,1.1,0.1,1,1,0,0,5,9,55.6,18,4,38.9,35.5,3,66.7,54.7,5,0,0.0,2,13.3,Match Report,539,613,87.9,9543,2949,241,262,92.0,257,277,92.8,38,58,65.5,2,1.2,1.3,17,68,16,7,78,Match Report,39,36,0,1,1,1,0,5,4,0,0,1,0,0,Match Report,14,10,7,4,3,6,10,60.0,4,4,2,2,6,20,16,0,Match Report,64.0,715,36,120,306,292,37,715,19,10,52.6,5,26.3,504,2031,1028,23,8,10,16,11,533,77,Match Report,2,0,0,10,10,1,25,6,10,0,1,0,50,9,7,56.3,Match Report
2022-10-09,16:30,Matchweek 10,Sun,Home,W,3.0,2.0,Liverpool,2.7,1.1,43.0,60059.0,Martin Ødegaard,4-3-3,4-2-3-1,Michael Oliver,Match Report,,3,10,6,60.0,0.2,0.33,14.3,0,1,1,2.7,2.3,0.24,0.3,-0.3,Match Report,3,2,1,33.3,0,0.9,-1.1,0,0,0,0,5,18,27.8,22,5,63.6,47.1,4,100.0,68.0,9,0,0.0,3,22.4,Match Report,316,417,75.8,5949,2040,129,152,84.9,144,168,85.7,37,76,48.7,2,1.6,1.6,4,37,11,0,42,Match Report,19,12,0,2,3,1,1,6,5,0,0,0,1,0,Match Report,16,10,9,5,2,5,9,55.6,4,11,3,8,6,22,31,1,Match Report,43.0,542,52,162,227,159,40,541,16,8,50.0,7,43.8,277,1431,766,17,11,7,16,8,313,41,Match Report,1,0,0,11,9,3,9,6,10,1,0,0,43,13,10,56.5,Match Report
2022-10-16,14:00,Matchweek 11,Sun,Away,W,1.0,0.0,Leeds United,0.5,1.8,53.0,36700.0,Martin Ødegaard,4-3-3,4-2-3-1,Chris Kavanagh,Match Report,,1,9,4,44.4,0.11,0.25,16.6,1,0,0,0.5,0.5,0.06,0.5,0.5,Match Report,4,0,4,100.0,1,1.3,1.3,1,0,0,1,3,17,17.6,36,5,33.3,36.0,8,62.5,50.4,14,1,7.1,0,8.4,Match Report,437,534,81.8,8070,2760,160,178,89.9,225,253,88.9,43,79,54.4,1,0.5,0.6,7,21,2,0,42,Match Report,15,11,2,1,0,1,0,2,2,0,0,0,0,0,Match Report,17,10,12,4,1,9,15,60.0,6,16,7,9,12,29,18,1,Match Report,53.0,663,77,248,320,100,14,663,31,16,51.6,14,45.2,364,1761,928,16,12,4,16,11,434,41,Match Report,2,0,0,11,10,0,8,12,10,0,1,0,57,10,13,43.5,Match Report
